,0,1
0,#,Close
1,http://www.history.com/shows,Shows
2,http://www.history.com/videos,Videos
3,http://www.history.com/schedule,Schedule
4,http://www.history.com/topics,Topics
5,http://www.shophistorystore.com/?utm_source=history&utm_medium=globalshoptab&utm_campaign=history,Shop
6,http://www.history.com/this-day-in-history,This day in history
7,http://www.history.com/news,News
8,http://www.history.com/ask-history,Ask History
9,http://www.history.com/history-lists,History Lists
10,http://www.history.com/speeches,Speeches & Audio
11,http://www.facebook.com/history,Facebook
12,https://twitter.com/intent/user?screen_name=history,Twitter
13,http://instagram.com/historyofficial,Instagram
14,https://plus.google.com/+HISTORY/posts,Google
15,https://foursquare.com/historychannel,Foursquare
16,http://www.youtube.com/subscription_center?add_user=historychannel,Youtube
17,http://www.history.com/emails,Email
18,http://www.history.com/emails,Email Updates
19,http://www.history.com/emails,Email
20,,
21,,Sign Out
22,/,
23,/shows,Shows
24,/this-day-in-history,This Day In History
25,/schedule,Schedule
26,/topics,Topics
27,/news,Stories
28,," 	"
29,/,
30,/shows,Shows
31,/this-day-in-history,This Day In History
32,/schedule,Schedule
33,/topics,Topics
34,/news,Stories
35,/videos,Videos
36,/speeches,Speeches & Audio
37,/shop,Shop
38,https://www.facebook.com/History/,
39,https://twitter.com/history,
40,https://plus.google.com/+HISTORY,
41,http://www.youtube.com/subscription_center?add_user=historychannel,
42,http://instagram.com/history,
43,/emails/sign-up,
44,#,
45,#,
46,#,
47,#,
48,#,
49,#,
50,#,
51,#,
52,#,
53,#,
54,#,
55,#,
56,#,
57,#,
58,#,
59,#,
60,#,
61,#,
62,#,
63,#,
64,#,
65,#,
66,#,
67,#,
68,#,
69,#,
70,#,
71,#,
72,#,
73,#,
74,#,
75,#,
76,#,
77,#,
78,#,
79,#,
80,#,
81,#,
82,#,
83,#,
84,#,
85,#,
86,#,
87,#,
88,#,
89,#,
90,#,
91,#,
92,#,
93,#,
94,#51dadf94cc462_carousel,‹
95,#51dadf94cc462_carousel,›
96,#,
97,#,
98,#,
99,/shows/alone,
100,/shows/ice-road-truckers,
101,/shows/mountain-men,
102,/shows/american-pickers,
103,/shows/pawn-stars,
104,/shows/counting-cars,
105,http://www.aenetworks.com/,
106,/,
107,http://www.historychannel.tv,Around the World
108,/shows/classroom,History Education
109,//www.historyvault.com?cmpid=HV_O_Site_H_Footer,History Vault
110,/apps,Mobile/Apps
111,/news,News
112,/shop,Shop
113,https://www.facebook.com/History/,
114,https://twitter.com/history,
115,https://plus.google.com/+HISTORY,
116,http://www.youtube.com/subscription_center?add_user=historychannel,
117,http://instagram.com/history,
118,//www.aetv.com/,
119,//www.mylifetime.com/,
120,//www.mylifetime.com/lifetime-movies,
121,//www.fyi.tv/,
122,//viceland.com/en_us/,
123,http://www.biography.com/,Biography
124,http://www.crimeandinvestigationnetwork.com/,Crime and Investigation
125,http://www.historyenespanol.com/,History en Espanol
126,//www.mylifetime.com/schedule/lrw,LRW
127,http://military.history.com/,Military History
128,http://www.aenetworks.com/adchoices,Ad Choices
129,http://www.aenetworks.com/advertise,Advertise WIth Us
130,http://www.aenetworks.com/closed-caption-support,Closed Captioning
131,http://www.aenetworks.com/copyright,Copyright Policy
132,http://www.aenetworks.com/,Corporate Information
133,http://www.aenetworks.com/careers,Employment Opportunities
134,https://history.zendesk.com/hc/en-us,FAQ/Contact Us
135,http://www.aenetworks.com/privacy,Privacy Policy
136,http://www.aenetworks.com/terms,Terms Of Use
137,http://www.aenetworks.com/guidelines,TV Parental Guidelines
138,http://www.aenetworks.com/contact,Contact Us
139,http://www.aenetworks.com/copyright,Copyright Policy
140,http://www.aenetworks.com/privacy,Privacy Policy
141,http://www.aenetworks.com/terms,Terms of Use
142,http://www.aenetworks.com/adchoices,Ad Choices
143,http://www.aenetworks.com/closed-caption-support,Closed Captioning
